OBJECTID,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,INTPTLAT10,INTPTLON10,TRACT,TRBG,TRBG_STR,ACRES_TOTAL,ACRES_LAND,ACRES_WATER,WATER,SHAPE_Length,SHAPE_Area
13,000300,2,530330003002,Block Group 2,+47.7313815,-122.3404296,300,300.2,300.2,104.30305384,104.31108869,0,,8613.17651519672,4543441.02525815
14,000401,1,530330004011,Block Group 1,+47.7308311,-122.3507154,401,401.1,401.1,156.03884558,148.25655675,7.79395082,,12988.2160218372,6797052.11355277
15,000401,2,530330004012,Block Group 2,+47.7295922,-122.3582502,401,401.2,401.2,100.55300951,100.56002901,0,,9265.56694301365,4380089.09443751
16,000401,3,530330004013,Block Group 3,+47.7250894,-122.3511384,401,401.3,401.3,80.37925689,67.94755504,12.43755514,,7524.35878305353,3501320.43002497
17,000402,1,530330004021,Block Group 1,+47.7223429,-122.3556433,402,402.1,402.1,79.4046978,79.41027945,0,,9197.17015502205,3458868.63634582
18,000402,2,530330004022,Block Group 2,+47.7148698,-122.3475496,402,402.2,402.2,185.41161565,185.42515974,0,,14840.491260686,8076529.97771601
19,000402,3,530330004023,Block Group 3,+47.7141594,-122.3555649,402,402.3,402.3,79.73884688,79.74510724,0,,7895.82816474951,3473424.17024691
20,000402,4,530330004024,Block Group 4,+47.7183437,-122.3561478,402,402.4,402.4,99.93905857,99.94621924,0,,9214.26597277981,4353345.39152484
21,000500,1,530330005001,Block Group 1,+47.7249329,-122.3718768,500,500.1,500.1,682.00914266,451.64364775,230.41489515,,29423.3798824871,29708318.2542044
22,000500,2,530330005002,Block Group 2,+47.7206019,-122.3636520,500,500.2,500.2,99.95038975,99.95684477,0,,9319.31039717193,4353838.97735375
23,000500,3,530330005003,Block Group 3,+47.7152604,-122.3663004,500,500.3,500.3,160.77026326,160.78208141,0,,15730.0491018361,7003152.66781598
24,000600,1,530330006001,Block Group 1,+47.7251219,-122.3365251,600,600.1,600.1,222.5895178,222.6058709,0,,14009.6409558696,9695999.3952464
25,000600,2,530330006002,Block Group 2,+47.7149025,-122.3152640,600,600.2,600.2,61.11395488,61.11830362,0,,6746.36563041532,2662123.87470253
26,000600,3,530330006003,Block Group 3,+47.7197645,-122.3371991,600,600.3,600.3,202.80420833,189.42011244,13.39879507,,15006.4187027481,8834151.31475641
27,000600,4,530330006004,Block Group 4,+47.7120765,-122.3371285,600,600.4,600.4,240.76208487,240.77874193,0,,15489.9076158641,10487596.4169116
28,000600,5,530330006005,Block Group 5,+47.7177460,-122.3255867,600,600.5,600.5,139.02690217,139.03680788,0,,12749.0384753608,6056011.85836174
29,000600,6,530330006006,Block Group 6,+47.7160682,-122.3190489,600,600.6,600.6,82.0165179,82.02267754,0,,10808.8708231741,3572639.51983391
30,000700,1,530330007001,Block Group 1,+47.7174424,-122.2946004,700,700.1,700.1,51.1594701,51.16292203,0,,6079.15562887263,2228506.51738287
31,000700,2,530330007002,Block Group 2,+47.7147743,-122.2973820,700,700.2,700.2,107.9858159,107.99370019,0,,10635.4576386385,4703862.14064288
32,000700,3,530330007003,Block Group 3,+47.7175538,-122.3072289,700,700.3,700.3,80.5790963,80.58477132,0,,7961.79747113868,3510025.4347066
33,000700,4,530330007004,Block Group 4,+47.7139286,-122.3071403,700,700.4,700.4,80.17422145,80.17976561,0,,8011.24671764752,3492389.08633015
34,000800,1,530330008001,Block Group 1,+47.7153863,-122.2871500,800,800.1,800.1,120.43048927,120.43866849,0,,9051.52634020123,5245952.11243016
35,000800,2,530330008002,Block Group 2,+47.7081668,-122.2852865,800,800.2,800.2,161.64258135,161.65362209,0,,10747.8359181506,7041150.8435452
36,000900,1,530330009001,Block Group 1,+47.7127864,-122.2796303,900,900.1,900.1,129.13614949,129.14542659,0,,13156.5403195235,5625170.67180073
37,000900,2,530330009002,Block Group 2,+47.7063747,-122.2749586,900,900.2,900.2,742.53421703,117.08470715,625.50007487,,27444.151791767,32344790.4937186
38,001000,1,530330010001,Block Group 1,+47.7096097,-122.2963087,1000,1000.1,1000.1,91.7280907,91.73466033,0,,8826.37123309227,3995675.63081915
39,001000,2,530330010002,Block Group 2,+47.7043679,-122.2959096,1000,1000.2,1000.2,144.10757469,144.11680031,0,,11086.1691851686,6277325.95361728
40,001100,1,530330011001,Block Group 1,+47.7092748,-122.3057238,1100,1100.1,1100.1,124.79669057,124.80477347,0,,11798.5842328785,5436143.8413546
41,001100,2,530330011002,Block Group 2,+47.7040663,-122.3077925,1100,1100.2,1100.2,137.22105691,137.23022044,0,,10895.0848944927,5977349.23898647
42,001200,1,530330012001,Block Group 1,+47.7067404,-122.3151128,1200,1200.1,1200.1,122.01634255,122.02533214,0,,10652.1846046809,5315031.88137255
43,001200,2,530330012002,Block Group 2,+47.7043280,-122.3200238,1200,1200.2,1200.2,60.69592136,60.70020132,0,,7972.88381246276,2643914.33442875
44,001200,3,530330012003,Block Group 3,+47.7091931,-122.3210308,1200,1200.3,1200.3,61.02059177,61.02489779,0,,7987.79697034135,2658056.97770139
45,001200,4,530330012004,Block Group 4,+47.7075152,-122.3264452,1200,1200.4,1200.4,120.59992258,120.60818278,0,,11662.7456278132,5253332.62746743
46,001200,5,530330012005,Block Group 5,+47.7075947,-122.3316209,1200,1200.5,1200.5,88.83946048,88.84550421,0,,10573.1664593519,3869846.89856423
47,001300,1,530330013001,Block Group 1,+47.7028559,-122.3378598,1300,1300.1,1300.1,124.93007082,124.93771616,0,,10566.2778600575,5441953.88493644
48,001300,2,530330013002,Block Group 2,+47.7048217,-122.3460347,1300,1300.2,1300.2,60.5702055,60.57417757,0,,6874.8105253661,2638438.15149161
49,001300,3,530330013003,Block Group 3,+47.7001728,-122.3450381,1300,1300.3,1300.3,107.05090791,107.05815921,0,,9575.08703671031,4663137.54834624
50,001400,1,530330014001,Block Group 1,+47.7105298,-122.3555061,1400,1400.1,1400.1,79.78973977,79.79502253,0,,7897.75821163859,3475641.06424268
51,001400,2,530330014002,Block Group 2,+47.7070891,-122.3585466,1400,1400.2,1400.2,127.81810149,127.82711938,0,,12509.1297860459,5567756.50087863
52,001400,3,530330014003,Block Group 3,+47.7028664,-122.3643080,1400,1400.3,1400.3,93.59317613,93.59931753,0,,9849.81539342599,4076918.7523278
53,001400,4,530330014004,Block Group 4,+47.7062878,-122.3734343,1400,1400.4,1400.4,279.14355655,226.91637716,52.24623202,,25787.1112645976,12159493.3234403
54,001500,1,530330015001,Block Group 1,+47.6961958,-122.3905366,1500,1500.1,1500.1,129.06682115,129.07524866,0,,11408.8324138861,5622150.72912921
55,001500,2,530330015002,Block Group 2,+47.6979157,-122.3990268,1500,1500.2,1500.2,258.60910052,160.15838743,98.46803485,,17524.0415107973,11265012.4188464
56,001600,1,530330016001,Block Group 1,+47.7056204,-122.3809955,1600,1600.1,1600.1,361.5179333,248.43802032,113.10433368,,21083.6639359759,15747721.1743834
57,001600,2,530330016002,Block Group 2,+47.6963993,-122.3832979,1600,1600.2,1600.2,163.45578933,163.46712848,0,,13129.9857094623,7120134.18314454
58,001600,3,530330016003,Block Group 3,+47.6933275,-122.3779540,1600,1600.3,1600.3,92.4356263,92.44212303,0,,9721.48881429851,4026495.88180139
59,001701,1,530330017011,Block Group 1,+47.6921888,-122.3576268,1701,1701.1,1701.1,79.99952024,80.0050621,0,,9238.22838160238,3484779.10146143
60,001701,2,530330017012,Block Group 2,+47.6958402,-122.3525289,1701,1701.2,1701.2,75.33015007,75.33526461,0,,7927.01048153645,3281381.33701239
61,001701,3,530330017013,Block Group 3,+47.7020793,-122.3528889,1701,1701.3,1701.3,65.26378539,65.26819139,0,,7933.73690648551,2842890.49141166
62,001702,1,530330017021,Block Group 1,+47.6992780,-122.3574379,1702,1702.1,1702.1,84.91221987,84.91726997,0,,9870.98352017141,3698776.29750469
63,001702,2,530330017022,Block Group 2,+47.6924455,-122.3687262,1702,1702.2,1702.2,80.2825413,80.28799776,0,,7946.06149988065,3497107.49907197
64,001702,3,530330017023,Block Group 3,+47.6963785,-122.3684070,1702,1702.3,1702.3,72.72438954,72.72904416,0,,7945.95675807809,3167874.40853697
65,001702,4,530330017024,Block Group 4,+47.6978405,-122.3619724,1702,1702.4,1702.4,78.40999519,78.41543319,0,,8057.55191185531,3415539.39029095
66,001800,1,530330018001,Block Group 1,+47.6942077,-122.3375804,1800,1800.1,1800.1,104.2410782,104.24832393,0,,9593.99111223254,4540741.36652897
67,001800,2,530330018002,Block Group 2,+47.6922220,-122.3443809,1800,1800.2,1800.2,60.31152722,60.31570534,0,,7420.71180707359,2627170.12573881
68,001800,3,530330018003,Block Group 3,+47.6954034,-122.3465577,1800,1800.3,1800.3,68.44525066,68.44992027,0,,8213.04864355208,2981475.11879668
69,001900,1,530330019001,Block Group 1,+47.6994924,-122.3280425,1900,1900.1,1900.1,189.25180224,189.26418894,0,,14967.5667534553,8243808.50535831
70,001900,2,530330019002,Block Group 2,+47.6949507,-122.3203287,1900,1900.2,1900.2,102.399151,102.40640042,0,,9318.03039264333,4460507.01766692
71,001900,3,530330019003,Block Group 3,+47.6932037,-122.3283714,1900,1900.3,1900.3,119.32003173,119.3276827,0,,11464.4734242546,5197580.58216547
72,002000,1,530330020001,Block Group 1,+47.6935121,-122.3108328,2000,2000.1,2000.1,137.55698922,130.47954854,7.08698233,,14838.5157821439,5991982.4505752
73,002000,2,530330020002,Block Group 2,+47.6989841,-122.3135657,2000,2000.2,2000.2,76.06511314,76.0696618,0,,7312.20266213353,3313396.32852932
74,002000,3,530330020003,Block Group 3,+47.6946512,-122.3139541,2000,2000.3,2000.3,66.07607124,66.08017967,0,,7310.17473023089,2878273.66310266
75,002100,1,530330021001,Block Group 1,+47.6962622,-122.2939347,2100,2100.1,2100.1,140.28513063,140.29432717,0,,12983.3368802037,6110820.29043107
76,002100,2,530330021002,Block Group 2,+47.6975256,-122.3007329,2100,2100.2,2100.2,87.78955751,87.79555345,0,,9293.94057036293,3824113.1249494
77,002100,3,530330021003,Block Group 3,+47.6924853,-122.3011618,2100,2100.3,2100.3,109.31635284,109.32436266,0,,10128.1518629619,4761820.32958003
78,002200,1,530330022001,Block Group 1,+47.7017757,-122.2834575,2200,2200.1,2200.1,152.23473342,152.2445905,0,,11762.5645633216,6631344.98790548
79,002200,2,530330022002,Block Group 2,+47.6962437,-122.2861748,2200,2200.2,2200.2,140.30726738,140.31656665,0,,10785.4959684165,6111784.56703481
80,002200,3,530330022003,Block Group 3,+47.6922985,-122.2695132,2200,2200.3,2200.3,516.13310164,148.3138852,367.85268411,,35611.8938064232,22482757.9076546
81,002200,4,530330022004,Block Group 4,+47.6873368,-122.2727892,2200,2200.4,2200.4,243.08784246,243.10350935,0,,13689.3032233011,10588906.4177698
82,002400,1,530330024001,Block Group 1,+47.6879755,-122.2845965,2400,2400.1,2400.1,102.22961151,102.2356506,0,,9887.05733258706,4453121.87748
83,002400,2,530330024002,Block Group 2,+47.6844333,-122.2848394,2400,2400.2,2400.2,44.01246246,44.01515178,0,,6902.78997130035,1917182.8647346
84,002400,3,530330024003,Block Group 3,+47.6863314,-122.2926620,2400,2400.3,2400.3,95.4374909,95.4437121,0,,8909.85909269679,4157257.10370744
85,002500,1,530330025001,Block Group 1,+47.6865099,-122.3014750,2500,2500.1,2500.1,153.69036109,153.69979409,0,,11156.6455604083,6694752.12894983
86,002500,2,530330025002,Block Group 2,+47.6794113,-122.3036600,2500,2500.2,2500.2,89.52872165,89.53418691,0,,8218.5413887249,3899871.11512221
87,002600,1,530330026001,Block Group 1,+47.6875890,-122.3094869,2600,2600.1,2600.1,60.62676523,60.63101181,0,,6637.0107415817,2640901.89333189
88,002600,2,530330026002,Block Group 2,+47.6822031,-122.3113993,2600,2600.2,2600.2,100.19939966,93.24373289,6.96219411,,9220.04685388709,4364685.84927415
89,002600,3,530330026003,Block Group 3,+47.6776154,-122.3120030,2600,2600.3,2600.3,80.76214299,80.7673822,0,,7990.4914514131,3517998.94844075
90,002600,4,530330026004,Block Group 4,+47.6860363,-122.3147077,2600,2600.4,2600.4,65.99611256,66.00036463,0,,8194.96294502815,2874790.66312473
91,002700,1,530330027001,Block Group 1,+47.6870853,-122.3206511,2700,2700.1,2700.1,89.49907704,89.50453426,0,,8051.8565329015,3898579.79590027
92,002700,2,530330027002,Block Group 2,+47.6867117,-122.3278947,2700,2700.2,2700.2,123.07613349,123.0841787,0,,12323.3652351907,5361196.37471135
93,002700,3,530330027003,Block Group 3,+47.6871297,-122.3344937,2700,2700.3,2700.3,77.95002698,77.95482875,0,,8248.82285409885,3395503.17509635
94,002700,4,530330027004,Block Group 4,+47.6866649,-122.3415091,2700,2700.4,2700.4,103.27977117,103.28683689,0,,9323.11474813895,4498866.83231599
95,002800,1,530330028001,Block Group 1,+47.6854820,-122.3499053,2800,2800.1,2800.1,64.90506596,64.90890016,0,,7447.41635581848,2827264.67332809
96,002800,2,530330028002,Block Group 2,+47.6829111,-122.3498650,2800,2800.2,2800.2,49.7776691,49.78061453,0,,6978.02645660529,2168315.26586996
97,002800,3,530330028003,Block Group 3,+47.6807271,-122.3500333,2800,2800.3,2800.3,47.34934029,47.35206284,0,,6815.88970514715,2062537.26323172
98,002800,4,530330028004,Block Group 4,+47.6887575,-122.3499161,2800,2800.4,2800.4,80.95332052,80.95864177,0,,7967.4030423153,3526326.64169351
99,002900,1,530330029001,Block Group 1,+47.6885797,-122.3604052,2900,2900.1,2900.1,89.13396596,89.13980672,0,,8502.35050227617,3882675.55732523
100,002900,2,530330029002,Block Group 2,+47.6826560,-122.3583474,2900,2900.2,2900.2,81.68073769,81.6858729,0,,8432.03589610916,3558012.93358167
101,002900,3,530330029003,Block Group 3,+47.6835401,-122.3635194,2900,2900.3,2900.3,72.86697157,72.87137686,0,,8090.42742270168,3174085.28138612
102,003000,1,530330030001,Block Group 1,+47.6850937,-122.3681951,3000,3000.1,3000.1,101.49961229,101.5054542,0,,10287.3311290886,4421323.11138514
103,003000,2,530330030002,Block Group 2,+47.6887443,-122.3762934,3000,3000.2,3000.2,90.65587223,90.66197587,0,,8523.3646768192,3948969.7942276
104,003000,3,530330030003,Block Group 3,+47.6832235,-122.3735987,3000,3000.3,3000.3,96.55559936,96.56161684,0,,8505.67075489371,4205961.90830894
105,003000,4,530330030004,Block Group 4,+47.6832293,-122.3794379,3000,3000.4,3000.4,80.25636352,80.26081617,0,,7997.6795470279,3495967.195045
106,003100,1,530330031001,Block Group 1,+47.6877831,-122.3854445,3100,3100.1,3100.1,75.56126058,75.56655525,0,,7308.5429763902,3291448.51085466
107,003100,2,530330031002,Block Group 2,+47.6865857,-122.3912517,3100,3100.2,3100.2,76.70034766,76.70496974,0,,8234.76685774534,3341067.14401732
108,003100,3,530330031003,Block Group 3,+47.6822826,-122.3854552,3100,3100.3,3100.3,73.03217329,73.03693746,0,,7228.80369423883,3181281.46866087
109,003100,4,530330031004,Block Group 4,+47.6812294,-122.3950644,3100,3100.4,3100.4,95.07326113,95.07947876,0,,9185.6209784823,4141391.25492649
110,003100,5,530330031005,Block Group 5,+47.6887931,-122.4026705,3100,3100.5,3100.5,346.37294954,231.36377981,115.03150854,,21985.2798890018,15088005.6818579
111,003200,1,530330032001,Block Group 1,+47.6773676,-122.3902634,3200,3200.1,3200.1,47.22033401,47.22307384,0,,5778.42498774238,2056917.74942835
112,003200,2,530330032002,Block Group 2,+47.6730961,-122.3902570,3200,3200.2,3200.2,47.97010943,47.97328577,0,,5813.32467457536,2089577.96656313
113,003200,3,530330032003,Block Group 3,+47.6662846,-122.3966514,3200,3200.3,3200.3,159.28614211,110.00464378,49.28961614,,13365.2129001337,6938504.35038945
114,003200,4,530330032004,Block Group 4,+47.6696757,-122.4001922,3200,3200.4,3200.4,64.73725841,64.74086851,0,,8291.56776747893,2819954.97620745
115,003200,5,530330032005,Block Group 5,+47.6730454,-122.3956487,3200,3200.5,3200.5,47.51161046,47.51465819,0,,5781.23215220602,2069605.75177081
116,003200,6,530330032006,Block Group 6,+47.6815466,-122.4064312,3200,3200.6,3200.6,416.96867644,215.53618594,201.45760397,,24865.0781174262,18163155.5456339
117,003200,7,530330032007,Block Group 7,+47.6774889,-122.3975860,3200,3200.7,3200.7,78.59943929,78.60397459,0,,8570.26919656977,3423791.57530362
118,003300,1,530330033001,Block Group 1,+47.6777674,-122.3713523,3300,3300.1,3300.1,78.98855907,78.99341267,0,,7832.41180478384,3440741.6331005
119,003300,2,530330033002,Block Group 2,+47.6741774,-122.3697940,3300,3300.2,3300.2,55.45949703,55.46255566,0,,6318.98813656208,2415815.69046902
120,003300,3,530330033003,Block Group 3,+47.6741751,-122.3778037,3300,3300.3,3300.3,64.68804904,64.69218875,0,,6884.87672414164,2817811.41604861
121,003300,4,530330033004,Block Group 4,+47.6747620,-122.3850881,3300,3300.4,3300.4,52.19541008,52.19829358,0,,6572.12043429748,2273632.06300283
122,003300,5,530330033005,Block Group 5,+47.6779561,-122.3815156,3300,3300.5,3300.5,68.98897997,68.9930579,0,,8277.81515002468,3005159.96764351
123,003400,1,530330034001,Block Group 1,+47.6741647,-122.3617733,3400,3400.1,3400.1,65.02671622,65.03047601,0,,6916.47519421525,2832563.75842052
124,003400,2,530330034002,Block Group 2,+47.6777748,-122.3617009,3400,3400.2,3400.2,62.75213839,62.75537677,0,,6841.85033382948,2733483.14813367
125,003400,3,530330034003,Block Group 3,+47.6704775,-122.3617627,3400,3400.3,3400.3,66.71889707,66.72240656,0,,7263.17336814281,2906275.15619142
126,003500,1,530330035001,Block Group 1,+47.6778488,-122.3516058,3500,3500.1,3500.1,86.09252216,86.09818659,0,,8582.84905477558,3750190.26523871
127,003500,2,530330035002,Block Group 2,+47.6740749,-122.3520619,3500,3500.2,3500.2,82.91517413,82.91892875,0,,8854.84793394069,3611784.98496643
128,003500,3,530330035003,Block Group 3,+47.6686178,-122.3523824,3500,3500.3,3500.3,148.4447521,148.45424106,0,,10862.7192131719,6466253.40161472
129,003600,1,530330036001,Block Group 1,+47.6771206,-122.3197627,3600,3600.1,3600.1,96.4667153,96.47364732,0,,12797.7282939823,4202090.11846706
130,003600,2,530330036002,Block Group 2,+47.6812640,-122.3238450,3600,3600.2,3600.2,56.75509349,56.75887049,0,,8789.4899134177,2472251.87230379
131,003600,3,530330036003,Block Group 3,+47.6740951,-122.3284474,3600,3600.3,3600.3,75.66113634,75.66589161,0,,7518.62195220191,3295799.0989947
132,003600,4,530330036004,Block Group 4,+47.6773394,-122.3261239,3600,3600.4,3600.4,66.7496599,66.75403604,0,,8219.10628523894,2907615.18524497
133,003800,1,530330038001,Block Group 1,+47.6793215,-122.2932360,3800,3800.1,3800.1,85.44414451,85.44953496,0,,8257.85652902504,3721946.93464414
134,003800,2,530330038002,Block Group 2,+47.6795181,-122.2983733,3800,3800.2,3800.2,68.88990954,68.89396864,0,,7727.43350628476,3000844.45954752
135,003900,1,530330039001,Block Group 1,+47.6796707,-122.2855956,3900,3900.1,3900.1,140.6053213,140.61383443,0,,10583.1137085984,6124767.7956825
136,003900,2,530330039002,Block Group 2,+47.6790474,-122.2777666,3900,3900.2,3900.2,100.01302076,100.01911533,0,,9230.3325187116,4356567.184345
137,004000,1,530330040001,Block Group 1,+47.6817180,-122.2523680,4000,4000.1,4000.1,1520.01032599,560.89807959,959.20501928,,38119.1561243177,66211649.8000217
138,004000,2,530330040002,Block Group 2,+47.6792461,-122.2717383,4000,4000.2,4000.2,83.29650603,83.30169499,0,,9083.8436166638,3628395.80266144
139,004100,1,530330041001,Block Group 1,+47.6724257,-122.2610321,4100,4100.1,4100.1,89.81693736,89.82231178,0,,11283.0223855946,3912425.79133847
140,004100,2,530330041002,Block Group 2,+47.6678440,-122.2587932,4100,4100.2,4100.2,1514.63931453,266.97413626,1247.7512082,,39073.55167952,65977688.5410613
141,004100,3,530330041003,Block Group 3,+47.6590379,-122.2757947,4100,4100.3,4100.3,116.04853294,116.05551324,0,,11611.2035481282,5055074.09500667
142,004100,4,530330041004,Block Group 4,+47.6643886,-122.2787377,4100,4100.4,4100.4,119.1479913,119.15545025,0,,9478.58786089842,5190086.50115014
143,004100,5,530330041005,Block Group 5,+47.6591502,-122.2856328,4100,4100.5,4100.5,91.00176854,91.00668787,0,,10038.3156829683,3964037.03768158
144,004100,6,530330041006,Block Group 6,+47.6516448,-122.2800457,4100,4100.6,4100.6,273.9594163,124.41830065,149.55583685,,16194.8588097953,11933672.174213
145,004200,1,530330042001,Block Group 1,+47.6727578,-122.2731724,4200,4200.1,4200.1,161.76493023,161.77519794,0,,11988.4909543866,7046480.36091032
146,004200,2,530330042002,Block Group 2,+47.6708004,-122.2821387,4200,4200.2,4200.2,126.75160272,126.75912992,0,,12017.5302054097,5521299.81428681
147,004200,3,530330042003,Block Group 3,+47.6646956,-122.2902948,4200,4200.3,4200.3,135.96572036,135.97368958,0,,11003.9966770013,5922666.77887314
148,004200,4,530330042004,Block Group 4,+47.6710683,-122.2877236,4200,4200.4,4200.4,93.05365783,93.05963938,0,,9140.27868744839,4053417.33520421
149,004200,5,530330042005,Block Group 5,+47.6721739,-122.2932774,4200,4200.5,4200.5,91.29668817,91.30222591,0,,8344.68530595988,3976883.73674623
150,004301,1,530330043011,Block Group 1,+47.6645729,-122.2978689,4301,4301.1,4301.1,85.10723429,85.11198901,0,,8787.38712519708,3707271.12564491
151,004301,2,530330043012,Block Group 2,+47.6721066,-122.2984779,4301,4301.2,4301.2,64.6105879,64.61459766,0,,7466.07769869921,2814437.20874481
152,004301,3,530330043013,Block Group 3,+47.6719615,-122.3036139,4301,4301.3,4301.3,92.27283071,92.27829216,0,,8412.20099055011,4019404.50555949
153,004302,1,530330043021,Block Group 1,+47.6649254,-122.3051533,4302,4302.1,4302.1,36.47047605,36.47250713,0,,6405.90638752174,1588653.9366866
154,004302,2,530330043022,Block Group 2,+47.6645917,-122.3023389,4302,4302.2,4302.2,45.24626411,45.24870184,0,,7175.79970297413,1970927.26467298
155,004400,1,530330044001,Block Group 1,+47.6721663,-122.3092048,4400,4400.1,4400.1,80.8964644,80.90131332,0,,7958.92929327924,3523849.98928221
156,004400,2,530330044002,Block Group 2,+47.6721681,-122.3146340,4400,4400.2,4400.2,81.7785284,81.78422084,0,,7985.62972512939,3562272.6972265
157,004400,3,530330044003,Block Group 3,+47.6667007,-122.3091995,4400,4400.3,4400.3,40.9199315,40.92287504,0,,5333.14422054544,1782472.21611007
158,004400,4,530330044004,Block Group 4,+47.6667282,-122.3146529,4400,4400.4,4400.4,41.00087907,41.00318429,0,,5348.22631868132,1785998.29225201
159,004500,1,530330045001,Block Group 1,+47.6685438,-122.3195230,4500,4500.1,4500.1,64.19234804,64.19649535,0,,7318.50679411416,2796218.68054944
160,004500,2,530330045002,Block Group 2,+47.6686067,-122.3250516,4500,4500.2,4500.2,101.60516149,101.6112153,0,,9006.5098621335,4425920.83465563
161,004600,1,530330046001,Block Group 1,+47.6830920,-122.3378674,4600,4600.1,4600.1,519.68711708,264.40201635,255.31693992,,22182.7079550133,22637570.8200838
162,004600,2,530330046002,Block Group 2,+47.6700086,-122.3322590,4600,4600.2,4600.2,75.3649352,75.36911805,0,,7715.33314170626,3282896.57716062
163,004600,3,530330046003,Block Group 3,+47.6663665,-122.3326052,4600,4600.3,4600.3,43.82224402,43.82463353,0,,6109.30465138155,1908896.94970831
164,004700,1,530330047001,Block Group 1,+47.6701208,-122.3698375,4700,4700.1,4700.1,67.34716026,67.35153686,0,,6853.19533749317,2933642.30088862
165,004700,2,530330047002,Block Group 2,+47.6632881,-122.3713819,4700,4700.2,4700.2,242.63462779,205.0408791,37.60869767,,14173.9771655438,10569164.386631
166,004700,3,530330047003,Block Group 3,+47.6702550,-122.3776200,4700,4700.3,4700.3,74.41076415,74.41479707,0,,7515.97106433549,3241332.88630576
167,004700,4,530330047004,Block Group 4,+47.6654796,-122.3828943,4700,4700.4,4700.4,184.90579393,135.27413425,49.64124709,,13800.3904691632,8054496.38342045
168,004800,1,530330048001,Block Group 1,+47.6658749,-122.3594913,4800,4800.1,4800.1,68.21187741,68.21541727,0,,8285.56990412913,2971309.3800518
169,004800,2,530330048002,Block Group 2,+47.6596645,-122.3581925,4800,4800.2,4800.2,73.08497535,73.08882959,0,,7465.3066460422,3183581.52620868
170,004800,3,530330048003,Block Group 3,+47.6557185,-122.3612071,4800,4800.3,4800.3,123.91676603,113.65537867,10.26846411,,13225.6235889491,5397814.32848396
171,004800,4,530330048004,Block Group 4,+47.6640496,-122.3638421,4800,4800.4,4800.4,70.86076847,70.86488116,0,,8622.3846070104,3086695.07448679
172,004900,1,530330049001,Block Group 1,+47.6635854,-122.3513594,4900,4900.1,4900.1,48.47482594,48.47812207,0,,6136.34610904013,2111563.41815429
173,004900,2,530330049002,Block Group 2,+47.6520110,-122.3495899,4900,4900.2,4900.2,83.98967957,77.7363876,6.25794377,,11178.6348913919,3658590.44206819
174,004900,3,530330049003,Block Group 3,+47.6536225,-122.3525730,4900,4900.3,4900.3,41.22991309,41.23175677,0,,5390.0879731311,1795975.01422961
175,004900,4,530330049004,Block Group 4,+47.6578067,-122.3527238,4900,4900.4,4900.4,54.31560749,54.31870485,0,,6225.00514079024,2365987.86223897
176,004900,5,530330049005,Block Group 5,+47.6605204,-122.3505267,4900,4900.5,4900.5,46.54576163,46.54773483,0,,7239.27557333052,2027533.37645089
177,005000,1,530330050001,Block Group 1,+47.6627109,-122.3408242,5000,5000.1,5000.1,91.61094855,91.61580264,0,,9864.7585329306,3990572.91890718
178,005000,2,530330050002,Block Group 2,+47.6579095,-122.3416325,5000,5000.2,5000.2,52.36897252,52.37151445,0,,7285.96783819114,2281192.44298298
179,005000,3,530330050003,Block Group 3,+47.6605528,-122.3441072,5000,5000.3,5000.3,43.16276421,43.16535637,0,,5944.64829633937,1880170.0090723
180,005100,1,530330051001,Block Group 1,+47.6626673,-122.3323151,5100,5100.1,5100.1,79.20361632,79.20814725,0,,7475.88048506105,3450109.52688391
181,005100,2,530330051002,Block Group 2,+47.6579054,-122.3321505,5100,5100.2,5100.2,78.78514776,78.78930363,0,,7529.28477139226,3431881.03629618
182,005100,3,530330051003,Block Group 3,+47.6538364,-122.3322878,5100,5100.3,5100.3,59.8748827,59.87808171,0,,6489.88406035462,2608149.89057678
183,005200,1,530330052001,Block Group 1,+47.6593030,-122.3209742,5200,5200.1,5200.1,18.67664312,18.67746022,0,,4719.78610143682,813554.574190423
184,005200,2,530330052002,Block Group 2,+47.6567013,-122.3203201,5200,5200.2,5200.2,41.709782,36.43544132,5.2761941,,6539.50875237027,1816878.10379714
185,005200,3,530330052003,Block Group 3,+47.6567017,-122.3251205,5200,5200.3,5200.3,83.65246681,67.78495969,15.87207283,,10873.1548706055,3643901.45432418
186,005200,4,530330052004,Block Group 4,+47.6621062,-122.3252398,5200,5200.4,5200.4,74.77350667,74.77754777,0,,7538.28853530162,3257133.95056458
187,005200,5,530330052005,Block Group 5,+47.6625974,-122.3194607,5200,5200.5,5200.5,40.71039745,40.71234126,0,,6116.57135719139,1773344.91275218
188,005301,1,530330053011,Block Group 1,+47.6630600,-122.3086776,5301,5301.1,5301.1,32.12870707,32.13111269,0,,4758.85069026771,1399526.47989506
189,005301,2,530330053012,Block Group 2,+47.6630891,-122.3141376,5301,5301.2,5301.2,49.53838597,49.54141652,0,,5954.87223225757,2157892.09290466
190,005301,3,530330053013,Block Group 3,+47.6598051,-122.3148582,5301,5301.3,5301.3,35.00480929,35.00667801,0,,4967.23015775874,1524809.49285107
191,005301,4,530330053014,Block Group 4,+47.6575928,-122.3149186,5301,5301.4,5301.4,17.61782332,17.61886077,0,,3921.77733890475,767432.383757048
192,005302,1,530330053021,Block Group 1,+47.6560948,-122.3150729,5302,5302.1,5302.1,18.3177035,18.31891032,0,,4132.35542710379,797919.164339109
