OBJECTID,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,INTPTLAT10,INTPTLON10,TRACT,TRBG,TRBG_STR,ACRES_TOTAL,ACRES_LAND,ACRES_WATER,WATER,SHAPE_Length,SHAPE_Area
361,010002,3,530330100023,Block Group 3,+47.5782299,-122.3058147,10002,10002.3,10002.3,59.97559668,59.97815939,0,,7410.64223939356,2612536.99120595
362,010002,4,530330100024,Block Group 4,+47.5734885,-122.3079476,10002,10002.4,10002.4,59.86482024,59.86696197,0,,6922.75378779766,2607711.56959817
363,010100,1,530330101001,Block Group 1,+47.5670775,-122.2701234,10100,10100.1,10100.1,553.68883828,174.41537949,379.28847404,,21831.6447108824,24118685.795417
364,010100,2,530330101002,Block Group 2,+47.5622552,-122.2786693,10100,10100.2,10100.2,123.14734708,123.15040294,0,,12716.9586652441,5364298.43897218
365,010100,3,530330101003,Block Group 3,+47.5645946,-122.2932810,10100,10100.3,10100.3,73.20085859,73.20225096,0,,10943.8221524072,3188629.40006461
366,010100,4,530330101004,Block Group 4,+47.5681454,-122.2919908,10100,10100.4,10100.4,97.29253767,97.29576693,0,,10101.9430130667,4238062.94106716
367,010100,5,530330101005,Block Group 5,+47.5688386,-122.2854078,10100,10100.5,10100.5,152.06564053,152.07038121,0,,12804.6970155284,6623979.30165272
368,010200,1,530330102001,Block Group 1,+47.5559770,-122.2657498,10200,10200.1,10200.1,159.38608746,159.38964259,0,,12872.2052351679,6942857.96967128
369,010200,2,530330102002,Block Group 2,+47.5544103,-122.2543123,10200,10200.2,10200.2,698.79354785,353.06466258,345.7456483,,28482.8054667215,30439446.9445557
370,010200,3,530330102003,Block Group 3,+47.5493800,-122.2725299,10200,10200.3,10200.3,76.11413749,76.1156234,0,,9481.9360680249,3315531.82917204
371,010200,4,530330102004,Block Group 4,+47.5556598,-122.2725172,10200,10200.4,10200.4,98.64913508,98.65113994,0,,11392.6867128469,4297156.32392745
372,010300,1,530330103001,Block Group 1,+47.5569090,-122.2781305,10300,10300.1,10300.1,76.83359779,76.83568848,0,,7873.60340786192,3346871.51977944
373,010300,2,530330103002,Block Group 2,+47.5499028,-122.2782953,10300,10300.2,10300.2,75.20444177,75.2060285,0,,8974.9345421884,3275905.48358142
374,010300,3,530330103003,Block Group 3,+47.5494747,-122.2837907,10300,10300.3,10300.3,81.54609037,81.54848231,0,,8366.35900514204,3552147.69640854
375,010300,4,530330103004,Block Group 4,+47.5569452,-122.2886124,10300,10300.4,10300.4,85.42904382,85.43124916,0,,9505.607973768,3721289.14885716
376,010300,5,530330103005,Block Group 5,+47.5568269,-122.2833939,10300,10300.5,10300.5,91.23176636,91.23402482,0,,9528.97003446454,3974055.74264524
377,010401,1,530330104011,Block Group 1,+47.5572451,-122.2948095,10401,10401.1,10401.1,113.2836581,113.28595613,0,,10950.7796767962,4934636.14687683
378,010401,2,530330104012,Block Group 2,+47.5542676,-122.2975185,10401,10401.2,10401.2,156.45900316,156.46317356,0,,15472.3796079994,6815354.17769194
379,010401,3,530330104013,Block Group 3,+47.5483941,-122.2940932,10401,10401.3,10401.3,129.78391258,129.78666505,0,,10794.8513521963,5653387.23190506
380,010402,1,530330104021,Block Group 1,+47.5508520,-122.3116877,10402,10402.1,10402.1,168.52463704,168.52932932,0,,15424.9978705701,7340933.18949931
381,010402,2,530330104022,Block Group 2,+47.5578286,-122.3087045,10402,10402.2,10402.2,114.28710764,114.28994529,0,,10194.2178827891,4978346.40877338
382,010402,3,530330104023,Block Group 3,+47.5504735,-122.3037593,10402,10402.3,10402.3,74.6193568,74.62063585,0,,13009.7553044246,3250419.18240298
383,010402,4,530330104024,Block Group 4,+47.5570049,-122.3149338,10402,10402.4,10402.4,87.07478669,87.07647679,0,,9974.42654492683,3792977.70812354
384,010500,1,530330105001,Block Group 1,+47.5601821,-122.3788541,10500,10500.1,10500.1,69.09085454,69.09362979,0,,8602.77803281878,3009597.62362923
385,010500,2,530330105002,Block Group 2,+47.5542634,-122.3810871,10500,10500.2,10500.2,94.9501946,94.9524666,0,,9278.33717952774,4136030.47686236
386,010500,3,530330105003,Block Group 3,+47.5548954,-122.3917632,10500,10500.3,10500.3,93.41589237,93.41843639,0,,9132.54301110543,4069196.27167124
387,010500,4,530330105004,Block Group 4,+47.5592554,-122.3841464,10500,10500.4,10500.4,80.1141917,80.11675373,0,,7977.55667034178,3489774.1903956
388,010500,5,530330105005,Block Group 5,+47.5597941,-122.3903608,10500,10500.5,10500.5,86.92606737,86.92821356,0,,8580.18187877462,3786499.49458364
389,010600,1,530330106001,Block Group 1,+47.5457634,-122.3791096,10600,10600.1,10600.1,139.25664914,139.25969694,0,,11916.8242813099,6066019.63671753
390,010600,2,530330106002,Block Group 2,+47.5493630,-122.3844358,10600,10600.2,10600.2,60.25178996,60.25318768,0,,6610.94768538891,2624567.97074562
391,010600,3,530330106003,Block Group 3,+47.5430741,-122.3855807,10600,10600.3,10600.3,94.59558841,94.59712906,0,,9413.60771772542,4120583.83122473
392,010600,4,530330106004,Block Group 4,+47.5433159,-122.3918603,10600,10600.4,10600.4,86.61760042,86.61933183,0,,9457.93902842715,3773062.67444899
393,010600,5,530330106005,Block Group 5,+47.5551791,-122.4004398,10600,10600.5,10600.5,402.22946809,200.31844816,201.91993814,,21140.6632724669,17521115.6300557
394,010600,6,530330106006,Block Group 6,+47.5494327,-122.3897910,10600,10600.6,10600.6,60.01567064,60.01670783,0,,6606.33111664989,2614282.61318341
395,010701,1,530330107011,Block Group 1,+47.5460458,-122.3654191,10701,10701.1,10701.1,234.25188455,234.25713671,0,,18199.0077482229,10204012.0909573
396,010701,2,530330107012,Block Group 2,+47.5364362,-122.3678239,10701,10701.2,10701.2,125.63844603,124.73558396,0.90539412,,11248.9486316929,5472810.70889968
397,010702,1,530330107021,Block Group 1,+47.5508946,-122.3729596,10702,10702.1,10702.1,74.80864525,74.81041278,0,,8715.0581525182,3258664.58690173
398,010702,2,530330107022,Block Group 2,+47.5462214,-122.3715878,10702,10702.2,10702.2,51.38323291,51.38457556,0,,7259.35762869073,2238253.62557267
399,010702,3,530330107023,Block Group 3,+47.5427271,-122.3742028,10702,10702.3,10702.3,67.71099794,67.71255782,0,,8022.58249509813,2949491.07027888
400,010800,1,530330108001,Block Group 1,+47.5519270,-122.3494180,10800,10800.1,10800.1,752.60742174,670.92520996,81.69822817,,30536.7190432838,32783579.2908089
401,010800,2,530330108002,Block Group 2,+47.5430222,-122.3583544,10800,10800.2,10800.2,170.25930112,170.26302067,0,,16660.3298917419,7416495.15686649
402,010800,3,530330108003,Block Group 3,+47.5538093,-122.3599712,10800,10800.3,10800.3,170.38173031,170.38533783,0,,17877.963522118,7421828.17216402
403,010900,1,530330109001,Block Group 1,+47.5348617,-122.3057936,10900,10900.1,10900.1,698.29551548,671.93661228,26.37182758,,31150.0127210454,30417752.6541702
404,010900,2,530330109002,Block Group 2,+47.5493212,-122.3279703,10900,10900.2,10900.2,552.69216676,511.63688057,41.06842011,,22675.2115417667,24075270.7839436
405,011001,1,530330110011,Block Group 1,+47.5410660,-122.2889872,11001,11001.1,11001.1,68.58514981,68.58681666,0,,10182.3628264964,2987569.12567689
406,011001,2,530330110012,Block Group 2,+47.5421120,-122.2859196,11001,11001.2,11001.2,77.31171003,77.31359029,0,,10074.4017145048,3367698.08886362
407,011001,3,530330110013,Block Group 3,+47.5343510,-122.2847822,11001,11001.3,11001.3,118.69126235,118.69311608,0,,10100.7728074929,5170191.38809549
408,011002,1,530330110021,Block Group 1,+47.5387954,-122.2999150,11002,11002.1,11002.1,246.98533311,246.98998279,0,,22392.2053312131,10758681.1103734
409,011002,2,530330110022,Block Group 2,+47.5421524,-122.2951120,11002,11002.2,11002.2,96.06501166,96.06617055,0,,9214.4996462404,4184591.90795924
410,011002,3,530330110023,Block Group 3,+47.5436870,-122.3005478,11002,11002.3,11002.3,71.1172132,71.11841128,0,,10733.3554026677,3097865.80714387
411,011101,1,530330111011,Block Group 1,+47.5407917,-122.2732040,11101,11101.1,11101.1,40.50636628,40.50724379,0,,7719.11035902024,1764457.31493922
412,011101,2,530330111012,Block Group 2,+47.5385197,-122.2776039,11101,11101.2,11101.2,97.22031872,97.22212952,0,,9903.057918538,4234917.08350807
413,011101,3,530330111013,Block Group 3,+47.5339087,-122.2756194,11101,11101.3,11101.3,58.76264562,58.76338934,0,,7355.15252339186,2559700.84338551
414,011101,4,530330111014,Block Group 4,+47.5436814,-122.2802139,11101,11101.4,11101.4,87.76659962,87.76837186,0,,8359.15713618628,3823113.07941249
415,011102,1,530330111021,Block Group 1,+47.5379284,-122.2633605,11102,11102.1,11102.1,563.26007135,158.75878255,404.51101449,,24537.1012121633,24535608.7078428
416,011102,2,530330111022,Block Group 2,+47.5436670,-122.2704383,11102,11102.2,11102.2,70.52941801,70.53054758,0,,7482.12563092852,3072261.44856193
417,011102,3,530330111023,Block Group 3,+47.5342317,-122.2713344,11102,11102.3,11102.3,29.2252526,29.22589473,0,,5191.31627365878,1273052.00314381
418,011102,4,530330111024,Block Group 4,+47.5364288,-122.2686791,11102,11102.4,11102.4,62.0958241,62.09684093,0,,8976.87253576865,2704894.09765213
419,011200,1,530330112001,Block Group 1,+47.5255014,-122.3285675,11200,11200.1,11200.1,291.9013339,291.90558658,0,,20262.1855853312,12715222.1047786
420,011200,2,530330112002,Block Group 2,+47.5344657,-122.3269219,11200,11200.2,11200.2,307.22560243,255.87457047,51.35599492,,23599.3225728119,13382747.2418211
421,011200,3,530330112003,Block Group 3,+47.5245893,-122.3166675,11200,11200.3,11200.3,131.82976974,131.83146208,0,,10897.5507270239,5742504.7697774
422,011300,1,530330113001,Block Group 1,+47.5290765,-122.3402420,11300,11300.1,11300.1,459.42778391,449.00233834,10.43278919,,23577.0534316884,20012674.2672282
